id	rate
35541	0.963369076844
35543	1.02849308129
35544	0.0
1333013	0
35546	0
35547	0
59943	2.78932467631
59940	1.47431506849
48828	0
59944	0
59945	0
48810	1.20582991365
47735	0
24	1.00421520086
24411	0
24412	0
1333024	0
11110	0
R59	0.762226229187
R35	0.848536012144
47705	1.0230897812
35535	0.869677067611
35537	0.894311948083
35531	0
35530	2.58055458485
35533	0
35532	1.09690248616
48826	0
48825	1.02477294105
35539	0.915584569681
48821	0
48820	0.0
59	0.786431483557
13310	0.974999046136
11105	2.46018816537
24465	0
35557	0.572325253748
24462	1.00089829633
24468	0
3550524	1.11367083551
47715	0
47710	0
35527	0
35522	1.04982823657
35521	0.905882459947
48830	1.63757944062
48831	0
48832	0
48833	0
48835	0.952439514158
35528	0
35529	0.752479609514
01	0.897601892895
R12	0.777939612903
R13	1.50631509874
R10	1.40093437914
R11	2.60764673206
13305	0.500163396852
R47	1.38271917207
13329	0
59977	0
59975	0
R46	1.48094057402
59970	1.13004661335
R62	0.0
59915	0.745600137845
24410	0
35598	0
12220	0
59913	0.658823529412
3550535	0.944952400613
35590	0.127956942795
59918	1.12992930086
35595	0.231736007508
35512	0
3550235	0
35516	0
35515	0
4884048	2.8
48845	1.33333333333
13330	0
48840	2.8
35	0.883528004078
24442	58.2611570248
R61	1.16067451479
24440	0
24447	0
59965	1.77340795644
24444	0
59905	0
60	1.49414927261
61	1.05084257526
62	0.0
13320	0.775519804907
35505	0.953798757673
13328	0
35501	1.57374938326
35502	0
48850	0.787229347
24459	0
R60	0
24454	0
24456	1.43559488692
24450	0
24452	0.794964028777
59933	0.773696523612
59932	0.851799041055
59930	0.546163155749
59937	0.74410316006
59935	0.796445015995
59934	1.06329113924
59939	0
59938	0.866080906094
35571	0
10010	0
35575	0.295726445725
10015	0.0
11	2.46509485927
10	1.06215352091
13	1.10670236075
12	0.858629635277
48860	1.07635854319
48865	0
35584	0
24428	0
35586	1.16751592357
12225	1.55454637907
35580	0.767566392674
35582	0
24421	1.10644640908
4884047	0
59950	2.31578947368
R48	0.91045171383
10005	0
10001	0.910492871505
46605	0
59925	1.15347859495
46607	0
59920	0
46602	0.922779729121
35568	1.14132728897
35569	0.243122705658
13335	0
35562	1.79114077956
35566	0
35567	0
61995	0.96
48	0.993400707358
46640	1.68165489905
46	0.961831475844
47	1.18393658862
47745	0
12210	0
12215	0
24433	1.12076303103
24430	0
24437	0
47725	1.19681094782
35556	2.44990577065
35555	0.99289633294
35553	0
47720	0
35550	1.07529775738
60990	1.25
59952	1.89694193389
59955	0.0
35559	1.13598289725
48805	0.150414730953
48806	0
24485	0
24481	0
24480	0
24406	0
24405	0
24404	0
24403	0
24408	0
47750	0
46610	0.842105263158
12205	0.835002514927
R24	0.822848137513
